datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-07-14 11:15:00+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200220131	19.5	58.1	68.5	114.0	68.4	32629	{'type': 'Polygon', 'coordinates': [[[540156.25, 3584843.75], [538514.404296875, 3584843.75], [538500.1966831516, 3586761.0068968614], [540156.25, 3585592.857963232], [540156.25, 3584843.75]]]}	MXRA-Z29-120200220131	538500.1966831516,3584843.75,540156.25,3586761.0068968614	2.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220131/2023-07-14/1040010087BCDB00-visual.tif
2023-07-14 11:15:00+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200221020	19.4	57.8	68.7	114.0	68.4	32629	{'type': 'Polygon', 'coordinates': [[[539843.75, 3584843.75], [539843.75, 3585813.289599125], [541218.2402064479, 3584843.75], [539843.75, 3584843.75]]]}	MXRA-Z29-120200221020	539843.75,3584843.75,541218.2402064479,3585813.289599125	0.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221020/2023-07-14/1040010087BCDB00-visual.tif
2023-07-14 11:15:01+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200220133	19.5	58.0	68.5	114.0	68.4	32629	{'type': 'Polygon', 'coordinates': [[[538511.6577148438, 3585156.25], [540156.25, 3585156.25], [540156.25, 3579843.75], [538546.142578125, 3579843.75], [538511.6577148438, 3585156.25]]]}	MXRA-Z29-120200220133	538511.6577148438,3579843.75,540156.25,3585156.25	8.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220133/2023-07-14/1040010087BCDB00-visual.tif
2023-07-14 11:15:01+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200220311	19.4	57.9	68.6	113.8	68.4	32629	{'type': 'Polygon', 'coordinates': [[[538544.0063476562, 3580156.25], [540156.25, 3580156.25], [540156.25, 3574843.75], [538579.7119140625, 3574843.75], [538544.0063476562, 3580156.25]]]}	MXRA-Z29-120200220311	538544.0063476562,3574843.75,540156.25,3580156.25	8.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220311/2023-07-14/1040010087BCDB00-visual.tif
2023-07-14 11:15:01+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200221022	19.3	57.7	68.8	114.0	68.4	32629	{'type': 'Polygon', 'coordinates': [[[545156.25, 3579843.75], [539843.75, 3579843.75], [539843.75, 3585156.25], [540775.2173635412, 3585156.25], [545156.25, 3582065.95178894], [545156.25, 3579843.75]]]}	MXRA-Z29-120200221022	539843.75,3579843.75,545156.25,3585156.25	21.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221022/2023-07-14/1040010087BCDB00-visual.tif
2023-07-14 11:15:01+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200221023	18.9	57.1	69.2	114.0	68.4	32629	{'type': 'Polygon', 'coordinates': [[[544843.75, 3579843.75], [544843.75, 3582286.383424833], [548306.605692955, 3579843.75], [544843.75, 3579843.75]]]}	MXRA-Z29-120200221023	544843.75,3579843.75,548306.605692955,3582286.383424833	4.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221023/2023-07-14/1040010087BCDB00-visual.tif
2023-07-14 11:15:02+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200220313	19.3	57.8	68.7	113.7	68.5	32629	{'type': 'Polygon', 'coordinates': [[[538576.66015625, 3575156.25], [540156.25, 3575156.25], [540156.25, 3569843.75], [538621.2158203125, 3569843.75], [538576.66015625, 3575156.25]]]}	MXRA-Z29-120200220313	538576.66015625,3569843.75,540156.25,3575156.25	8.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220313/2023-07-14/1040010087BCDB00-visual.tif
2023-07-14 11:15:02+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200221200	19.2	57.6	68.8	113.8	68.4	32629	{'type': 'Polygon', 'coordinates': [[[539843.75, 3580156.25], [539843.75, 3574843.75], [545156.25, 3574843.75], [545156.25, 3580156.25], [539843.75, 3580156.25]]]}	MXRA-Z29-120200221200	539843.75,3574843.75,545156.25,3580156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221200/2023-07-14/1040010087BCDB00-visual.tif
2023-07-14 11:15:02+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200221201	18.9	56.9	69.2	113.8	68.4	32629	{'type': 'Polygon', 'coordinates': [[[550156.25, 3574843.75], [544843.75, 3574843.75], [544843.75, 3580156.25], [547863.5828500483, 3580156.25], [550156.25, 3578539.0456146477], [550156.25, 3574843.75]]]}	MXRA-Z29-120200221201	544843.75,3574843.75,550156.25,3580156.25	26.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221201/2023-07-14/1040010087BCDB00-visual.tif
2023-07-14 11:15:02+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200221202	19.1	57.5	68.9	113.7	68.5	32629	{'type': 'Polygon', 'coordinates': [[[539843.75, 3575156.25], [539843.75, 3569843.75], [545156.25, 3569843.75], [545156.25, 3575156.25], [539843.75, 3575156.25]]]}	MXRA-Z29-120200221202	539843.75,3569843.75,545156.25,3575156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221202/2023-07-14/1040010087BCDB00-visual.tif
2023-07-14 11:15:02+00:00	WV03	0.34	0.0.1	1040010087BCDB00	29	120200221203	18.8	56.8	69.3	113.7	68.5	32629	{'type': 'Polygon', 'coordinates': [[[544843.75, 3575156.25], [544843.75, 3569843.75], [550156.25, 3569843.75], [550156.25, 3575156.25], [544843.75, 3575156.25]]]}	MXRA-Z29-120200221203	544843.75,3569843.75,550156.25,3575156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221203/2023-07-14/1040010087BCDB00-visual.tif
