datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2019-07-16 11:53:19+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200220130	24.8	284.8	62.7	133.2	75.0	32629	{'type': 'Polygon', 'coordinates': [[[535156.25, 3584843.75], [531790.1611328125, 3584843.75], [531789.6724470111, 3585907.1303039063], [535156.25, 3586585.3276143586], [535156.25, 3584843.75]]]}	MXRA-Z29-120200220130	531789.6724470111,3584843.75,535156.25,3586585.3276143586	4.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220130/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:19+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200220131	25.0	284.7	62.3	133.2	75.0	32629	{'type': 'Polygon', 'coordinates': [[[540156.25, 3584843.75], [534843.75, 3584843.75], [534843.75, 3586522.3744650013], [537951.0768739581, 3587148.3457059558], [540156.25, 3585592.857963232], [540156.25, 3584843.75]]]}	MXRA-Z29-120200220131	534843.75,3584843.75,540156.25,3587148.3457059558	9.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220131/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:19+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200221020	25.4	284.5	61.9	133.2	75.0	32629	{'type': 'Polygon', 'coordinates': [[[539843.75, 3584843.75], [539843.75, 3585813.289599125], [541218.2402064479, 3584843.75], [539843.75, 3584843.75]]]}	MXRA-Z29-120200221020	539843.75,3584843.75,541218.2402064479,3585813.289599125	0.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221020/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:20+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200220132	24.9	284.8	62.5	133.2	75.0	32629	{'type': 'Polygon', 'coordinates': [[[531792.2973632812, 3585156.25], [535156.25, 3585156.25], [535156.25, 3579843.75], [531792.9077148438, 3579843.75], [531792.2973632812, 3585156.25]]]}	MXRA-Z29-120200220132	531792.2973632812,3579843.75,535156.25,3585156.25	17.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220132/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:20+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200220133	25.1	284.7	62.2	133.2	75.0	32629	{'type': 'Polygon', 'coordinates': [[[534843.75, 3585156.25], [534843.75, 3579843.75], [540156.25, 3579843.75], [540156.25, 3585156.25], [534843.75, 3585156.25]]]}	MXRA-Z29-120200220133	534843.75,3579843.75,540156.25,3585156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220133/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:20+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200220310	24.9	284.8	62.4	133.0	75.0	32629	{'type': 'Polygon', 'coordinates': [[[531793.8232421875, 3580156.25], [535156.25, 3580156.25], [535156.25, 3574843.75], [531788.9404296875, 3574843.75], [531793.8232421875, 3580156.25]]]}	MXRA-Z29-120200220310	531788.9404296875,3574843.75,535156.25,3580156.25	17.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220310/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:20+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200220311	25.2	284.6	62.1	133.0	75.0	32629	{'type': 'Polygon', 'coordinates': [[[534843.75, 3580156.25], [534843.75, 3574843.75], [540156.25, 3574843.75], [540156.25, 3580156.25], [534843.75, 3580156.25]]]}	MXRA-Z29-120200220311	534843.75,3574843.75,540156.25,3580156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220311/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:20+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200221022	25.5	284.5	61.8	133.2	75.0	32629	{'type': 'Polygon', 'coordinates': [[[545156.25, 3579843.75], [539843.75, 3579843.75], [539843.75, 3585156.25], [540775.2173635412, 3585156.25], [545156.25, 3582065.95178894], [545156.25, 3579843.75]]]}	MXRA-Z29-120200221022	539843.75,3579843.75,545156.25,3585156.25	21.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221022/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:20+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200221023	25.8	284.4	61.5	133.2	75.0	32629	{'type': 'Polygon', 'coordinates': [[[548267.822265625, 3579843.75], [544843.75, 3579843.75], [544843.75, 3582286.383424833], [548267.6327612037, 3579871.2407747246], [548267.822265625, 3579843.75]]]}	MXRA-Z29-120200221023	544843.75,3579843.75,548267.822265625,3582286.383424833	4.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221023/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:20+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200221200	25.6	284.5	61.7	133.0	75.0	32629	{'type': 'Polygon', 'coordinates': [[[539843.75, 3580156.25], [539843.75, 3574843.75], [545156.25, 3574843.75], [545156.25, 3580156.25], [539843.75, 3580156.25]]]}	MXRA-Z29-120200221200	539843.75,3574843.75,545156.25,3580156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221200/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:20+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200221201	25.9	284.4	61.4	133.0	75.0	32629	{'type': 'Polygon', 'coordinates': [[[548298.33984375, 3574843.75], [544843.75, 3574843.75], [544843.75, 3580156.25], [547863.5828500483, 3580156.25], [548266.5667105842, 3579871.992746827], [548298.33984375, 3574843.75]]]}	MXRA-Z29-120200221201	544843.75,3574843.75,548298.33984375,3580156.25	18.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221201/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:21+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200220312	25.0	284.7	62.3	132.8	75.0	32629	{'type': 'Polygon', 'coordinates': [[[531788.330078125, 3575156.25], [535156.25, 3575156.25], [535156.25, 3569843.75], [531770.6298828125, 3569843.75], [531788.330078125, 3575156.25]]]}	MXRA-Z29-120200220312	531770.6298828125,3569843.75,535156.25,3575156.25	17.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220312/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:21+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200220313	25.3	284.6	62.0	132.8	75.0	32629	{'type': 'Polygon', 'coordinates': [[[534843.75, 3575156.25], [534843.75, 3569843.75], [540156.25, 3569843.75], [540156.25, 3575156.25], [534843.75, 3575156.25]]]}	MXRA-Z29-120200220313	534843.75,3569843.75,540156.25,3575156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220313/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:21+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200221202	25.7	284.5	61.6	132.8	75.0	32629	{'type': 'Polygon', 'coordinates': [[[539843.75, 3575156.25], [539843.75, 3569843.75], [545156.25, 3569843.75], [545156.25, 3575156.25], [539843.75, 3575156.25]]]}	MXRA-Z29-120200221202	539843.75,3569843.75,545156.25,3575156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221202/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:21+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200221203	25.9	284.3	61.3	132.8	75.0	32629	{'type': 'Polygon', 'coordinates': [[[544843.75, 3575156.25], [544843.75, 3569843.75], [548307.8002929688, 3569843.75], [548308.7158203125, 3573271.484375], [548295.8984375, 3575156.25], [544843.75, 3575156.25]]]}	MXRA-Z29-120200221203	544843.75,3569843.75,548308.7158203125,3575156.25	18.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221203/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:22+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200220330	25.1	284.7	62.2	132.7	75.0	32629	{'type': 'Polygon', 'coordinates': [[[531770.6298828125, 3570156.25], [535156.25, 3570156.25], [535156.25, 3564843.75], [531726.6845703125, 3564843.75], [531770.6298828125, 3570156.25]]]}	MXRA-Z29-120200220330	531726.6845703125,3564843.75,535156.25,3570156.25	18.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220330/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:22+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200220331	25.4	284.6	61.9	132.7	75.0	32629	{'type': 'Polygon', 'coordinates': [[[534843.75, 3570156.25], [534843.75, 3564843.75], [540156.25, 3564843.75], [540156.25, 3570156.25], [534843.75, 3570156.25]]]}	MXRA-Z29-120200220331	534843.75,3564843.75,540156.25,3570156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220331/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:22+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200221220	25.8	284.4	61.5	132.7	75.0	32629	{'type': 'Polygon', 'coordinates': [[[539843.75, 3570156.25], [539843.75, 3564843.75], [545156.25, 3564843.75], [545156.25, 3570156.25], [539843.75, 3570156.25]]]}	MXRA-Z29-120200221220	539843.75,3564843.75,545156.25,3570156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221220/2019-07-16/104001004F028F00-visual.tif
2019-07-16 11:53:22+00:00	WV03	0.37	0.0.1	104001004F028F00	29	120200221221	26.0	284.3	61.2	132.7	75.0	32629	{'type': 'Polygon', 'coordinates': [[[544843.75, 3570156.25], [544843.75, 3564843.75], [548282.7758789062, 3564843.75], [548254.0893554688, 3565730.5908203125], [548278.80859375, 3566007.080078125], [548260.1928710938, 3566180.7250976562], [548257.7514648438, 3566470.6420898438], [548286.4379882812, 3566860.0463867188], [548306.5795898438, 3567753.90625], [548306.884765625, 3570156.25], [544843.75, 3570156.25]]]}	MXRA-Z29-120200221221	544843.75,3564843.75,548306.884765625,3570156.25	18.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221221/2019-07-16/104001004F028F00-visual.tif
